conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,keyword,keyword_file,layer,app_detected,has_aksesibilitas
769104657465667585,2016-08-26T09:30:14.000Z,0,"26-08-2016, pk 14:00-17:00 wib. BNI dan BCA menjadi  narasumber dlm Dialog Layanan Bank Ramah Tunanetra di Banten. https://t.co/57wcxOsWyM",769104657465667585,https://pbs.twimg.com/media/Cqxom8YW8AAOecw.jpg,,in,,0,0,0,https://x.com/dpp_pertuni/status/769104657465667585,2832653732,dpp_pertuni,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
758850624079269888,2016-07-29T02:24:22.000Z,0,"Kartu Kredit BCA BNI Readme, Aplikasi Belajar Alquran Khusus Tunanetra  ► https://t.co/illa8AEQbb",758850624079269888,,,in,,0,0,0,https://x.com/zaloraa/status/758850624079269888,834585409,zaloraa,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
742922998525530115,2016-06-15T03:33:40.000Z,0,Kartu Kredit BCA BNI Kacamata Cerdas Mudahkan Tunanetra Beraktivitas  ► https://t.co/illa8AEQbb,742922998525530115,,,in,,0,0,0,https://x.com/zaloraa/status/742922998525530115,834585409,zaloraa,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
723705602485014528,2016-04-23T02:50:36.000Z,0,Kartu Kredit BCA BNI Membaca Lewat Buku Audio Tunanetra  ► https://t.co/illa8AEQbb,723705602485014528,,,in,,0,0,0,https://x.com/zaloraa/status/723705602485014528,834585409,zaloraa,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
707379901087678464,2016-03-09T01:38:05.000Z,0,Kartu Kredit BCA BNI Sabuk Pembantu Tunanetra Torehkan Beragam Prestasi  ► https://t.co/illa8AEQbb,707379901087678464,,,in,,0,0,0,https://x.com/zaloraa/status/707379901087678464,834585409,zaloraa,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
699217259017863168,2016-02-15T13:02:40.000Z,0,"Kartu Kredit BCA BNI Tulis Novel, Siswa Tunanetra Buktikan Bisa Mandiri  ► https://t.co/illa8AEQbb",699217259017863168,,,in,,0,0,0,https://x.com/zaloraa/status/699217259017863168,834585409,zaloraa,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,"BCA, Mandiri",True
682059011139608577,2015-12-30T04:41:54.000Z,0,"Inovasi BCA, ATM Layanan Wicara Bagi Penyandang Disabilitas Tunanetra https://t.co/DziA5mDher https://t.co/PWjYYUUvM6",682059011139608577,https://pbs.twimg.com/media/CXcpDj5U0AQQA17.jpg,,in,,0,0,0,https://x.com/IndocartoonIND/status/682059011139608577,2895513163,IndocartoonIND,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
682054034392399874,2015-12-30T04:22:08.000Z,0,"Inovasi BCA, ATM Layanan Wicara Bagi Penyandang Disabilitas Tunanetra https://t.co/0fISi9ZDWd",682054034392399874,,,in,,0,0,0,https://x.com/jpnncom/status/682054034392399874,79130206,jpnncom,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
642516937612873728,2015-09-12T01:55:49.000Z,0,Ank tunanetra yg lg bca ayat2 a-qur'an https://t.co/sYVX0zw8XI,642516937612873728,,,in,,0,0,0,https://x.com/dieeena/status/642516937612873728,124402203,dieeena,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
589314607535140865,2015-04-18T06:28:46.000Z,0,"Guiding block dibuat dgn dsar yg memiliki kontur tertentu utk dikenali oleh penyandang tunanetra, bca http://t.co/eMJ0yvBJY3 #WeAreTheSame",589314607535140865,,,in,,0,0,1,https://x.com/WeAreTheSame15/status/589314607535140865,3140435102,WeAreTheSame15,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
526756137199104000,2014-10-27T15:23:44.000Z,0,"9a. Beliau blg dlu ad bpk tunanetra yg blg, ""Mata kmi bleh buta, tp kmi gk mo ktka malaikat tny knp gk bs bca Qur'an.. (Cont.)",526756137199104000,,,in,,0,0,0,https://x.com/BangBoimID/status/526756137199104000,212046533,BangBoimID,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
503173482599829505,2014-08-23T13:34:41.000Z,0,bca cerbungnya ka Yunyun... teringat kisah cinta dri khidupn asli seorang tunanetra,503173482599829505,,,in,,0,0,0,https://x.com/Dahlia_Insani/status/503173482599829505,1866482335,Dahlia_Insani,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
484314219668459520,2014-07-02T12:34:42.000Z,0,"Ust. Furqon subhanallah keren tunanetra bca quran braile, ari aqu sok marales keneh bca quran :( » mka nikmat mnakah yag kau dustakan...",484314219668459520,,,in,,0,0,0,https://x.com/vicky_Onix/status/484314219668459520,621607624,vicky_Onix,tunanetra BCA,aksesibilitas_bca_tunanetra,Aksesibilitas,BCA,True
